Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,criterion,max_depth,max_iter,min_samples_leaf,n_estimators,penalty,solver,splitter,accuracy,test_accuracy,Model,Train Data,Best
2025-03-22 17:40:39,1.4s,0f89564a47974913a6b6597316be539d,likeable-foal-615,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,3,,4,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:40:37,1.4s,43fd962703fe4a7bbe9a9068b4f22851,puzzled-grub-18,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,3,,3,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:40:36,1.4s,2a915d8d59cb467da61dbcd58207d955,welcoming-grub-727,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,3,,2,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:40:30,1.4s,d697f63211c54e3cb21b290ba4785417,lyrical-swan-145,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,gini,4,,4,,,,random,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:36:11,1.5s,00b1a1fd4e42421d8c9d3897b69885d4,stately-mouse-644,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,2,,,300,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:36:10,1.5s,2521aed14c3343efb5a7f002c54775ac,thoughtful-slug-433,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,2,,,200,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:36:08,1.5s,ba5a2e5e378e43188f5b70bd2ecd8cf7,exultant-zebra-273,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,2,,,100,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:36:07,1.3s,848bc589e6e3427a98a1d0c339b633cb,secretive-ram-9,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,1,,,300,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:36:06,1.4s,15195012362f4f1a986152488b34b533,receptive-ram-471,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,1,,,200,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:36:04,1.3s,a495d94252ed40c79c555455bb06c1e0,useful-panda-765,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,1,,,100,,,l2,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:35:26,1.4s,d44ff4d0b7ba4894911461441ffacd81,nebulous-skink-385,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,5,,,300,,,l1,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 17:35:24,1.4s,b5407665938d4171bb1b3bf7d6f844bf,zealous-sponge-17,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,5,,,200,,,l1,liblinear,,0.9545454545454546,,logistic-regression,worst-data-70-30,
2025-03-22 16:15:14,1.4s,f1a035e5ab1b45929b9bfc931087a5ca,charming-asp-899,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,4,,2,20,,,,0.9545454545454546,,random-forest,70-30,
2025-03-22 16:15:08,1.4s,301241f700fe456cba5b5b7ed3c17e9d,silent-crow-986,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,4,10,,,,0.9545454545454546,,random-forest,70-30,
2025-03-22 16:15:05,2.1s,7d1545dcbdba440595e50f2ec72e0914,clumsy-hound-373,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,3,20,,,,0.9545454545454546,,random-forest,70-30,
2025-03-22 16:14:45,1.5s,f85cbacd13484c5f8e81cffbd60003f4,upbeat-wolf-91,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,2,,2,10,,,,0.9545454545454546,,random-forest,70-30,
2025-03-22 16:14:44,1.5s,9990e6192c064e158ba5b2a0273c2f0f,luminous-hawk-570,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,4,,4,30,,,,0.9545454545454546,,random-forest,70-30,
